1,356175,362778,356495,356328,356352,356232,356248,356185,356233,356219,356575,356220,362758,356305,356263,356357,356574,356733,356674,356432,356387,356536,356167,356364,362794,356142,356260,356281,356324,356225,356312,356484,356345,356238,356285,356277,362642,356205,356290,356243,356233,356197,356437,356484,356324,356484,356227,362685,356189,356111,356966,3787040.58612245
10,402684,610543,391713,363805,356564,409335,556263,388941,367189,357513,356854,356744,356619,356705,358480,356636,356623,356619,356542,356596,356621,356900,356569,356580,360522,519397,356694,356645,356748,356620,356625,356622,356662,356701,356648,356695,359473,356688,520926,356637,356671,356763,356657,356645,356710,357106,356694,358981,357423,356699,376206,2980029475.3061233
20,355822,221061,222181,225315,373417,221404,893718,221582,334240,256320,220423,361053,280123,814443,236315,223838,294028,249707,219678,377670,365381,220218,1004017,225710,227649,259986,237134,228082,226646,257602,240827,228535,226282,230101,365475,226733,403639,1336598,826444,1402106,226776,1035482,387800,226414,1090260,238177,226480,226017,233486,226299,389174,94811389100.10774
30,279624,273946,362158,273554,273401,276552,273794,288206,273990,273489,273448,280794,273574,567668,287351,396130,278639,272074,272131,274852,273529,271986,272002,272148,272534,272711,273818,274243,273326,387675,272026,272022,271866,272000,327007,272281,271998,271857,272482,274933,272226,272161,272372,272981,397421,272833,284931,292246,271942,283192,290802,2589220598.581224
40,320640,321911,321533,320492,320735,320473,322819,336152,365826,383171,323914,320379,320437,322405,320184,333875,322210,320100,320030,324369,320881,445612,320134,319940,319998,320152,321544,320230,320132,320203,319684,320280,319770,434096,321886,321731,321553,335196,327250,321860,321956,322373,323388,333621,321494,448838,320779,320525,320461,321350,331771,930266359.3534695
50,384677,376496,376248,376204,376141,376472,389262,381011,382237,378034,454846,378920,376990,376111,376235,390780,381650,376451,376361,379413,488483,381742,374517,374634,374205,374180,374019,390164,380214,374167,374229,485970,374089,389297,375043,381793,374280,375687,388347,381555,376235,476015,376333,376019,378264,389097,376545,382460,375905,379147,386743,748748358.1322448
60,424555,425302,422166,422369,434005,427923,460599,435717,441696,471898,419813,424469,452125,419548,420891,419798,419351,419480,420087,419345,419616,419343,449890,422189,422951,422002,422307,526854,446368,421311,418369,418350,418274,418618,418384,418359,429964,443499,498069,418204,437859,463184,446315,432146,432232,433612,435948,537177,433769,445999,435446,663437820.3057141
70,469725,493120,472349,469109,473015,469619,489823,596002,488571,469156,469285,469204,470685,469635,469546,566146,500993,484289,470225,486772,469577,469606,469080,470105,935266,468651,500479,469083,468791,468800,469032,562368,467538,467581,467475,467169,467045,467099,467317,466965,535298,466905,467122,466946,467461,467137,467099,467003,566647,467093,490900,5014071110.775917
80,511162,511462,765130,511022,510927,510936,510968,510922,511257,548485,513765,516026,511988,512724,524755,510837,511278,514079,511016,528094,512882,529494,512635,510966,511069,511365,511682,511517,511026,511365,511836,511836,543582,538636,746021,512796,516160,523978,511899,527600,596648,512181,534597,511685,536641,512889,511502,782829,511585,511785,533150,3720741724.367347
90,581016,572733,567247,643439,567353,567318,567803,567362,567219,567350,668095,567315,567203,567521,567486,772818,567337,680615,580185,577602,567237,567654,567230,567662,748616,567147,567147,567394,567301,567268,567179,695989,567203,567033,567098,567094,567658,579364,638682,567089,567032,567415,567238,580982,572961,654955,567870,567130,567305,567129,588082,2296168350.983265
100,613861,615523,679627,613844,613864,614400,614086,613798,613828,701995,617728,615417,613786,614084,613650,679392,613808,614373,613860,613845,613595,613820,682352,613953,613996,613573,613724,613914,724180,619917,614914,614154,613918,613782,613790,710495,613839,613668,613675,613588,613801,709508,614038,613623,613732,614009,613683,613694,721449,613778,628099,1086404586.2812247
