nq, Iteration 1, Iteration 2, Iteration 3, Iteration 4, Iteration 5
1, 286217, 281119, 281068, 281067, 286198
5, 337007, 309305, 309293, 480474, 366419
10, 400816, 333667, 326763, 327080, 326688
15, 375745, 370019, 319768, 319646, 322894
20, 163477, 242607, 145914, 145790, 147414
25, 208209, 172690, 166316, 166510, 166284
30, 187343, 191242, 187825, 213621, 187770
35, 215824, 215874, 217481, 402204, 777620
40, 254151, 245211, 239561, 236575, 241703
45, 260006, 259440, 287227, 261987, 335235
50, 379953, 279620, 286175, 275084, 279475
