1, 3605, 3603, 3606, 3605, 3607, 3605, 3605, 3598, 3603, 3603, 3604, 3604, 3605, 3604, 3606, 3603, 3603, 3607, 3605, 3605, 3608, 3597, 3604, 3604, 3603, 3604, 3606, 3605, 3604, 3604, 3606, 3604, 3603, 3605, 3602, 3597, 3605, 3606, 3603, 3608, 3605, 3606, 3604, 3604, 3605, 3604, 3604, 3604, 3595, 3599, 3603.88
5, 4874, 4872, 4871, 4873, 4879, 4870, 4874, 4886, 4872, 4873, 4883, 4871, 4876, 4883, 4878, 4870, 5070, 4893, 4877, 4885, 4877, 4875, 4877, 4872, 4873, 4876, 4875, 4877, 4866, 4878, 4876, 4869, 4875, 4873, 4866, 4873, 4881, 4874, 4875, 4886, 4867, 7046, 4874, 4876, 4876, 4870, 4874, 7015, 4877, 4871, 4965.4
10, 4887, 4879, 4880, 4880, 4886, 7015, 4887, 7028, 4884, 4881, 4884, 4892, 4884, 4887, 4886, 4898, 7031, 7033, 4888, 4890, 4894, 4885, 4875, 4969, 4887, 4931, 4875, 4881, 4887, 4886, 4884, 4903, 4888, 4887, 4892, 4884, 4896, 4891, 4890, 4889, 4883, 7016, 4880, 7026, 4886, 4882, 4881, 4875, 4884, 4883, 5145
15, 7160, 7169, 7170, 7169, 7174, 7168, 7161, 7167, 7164, 7167, 7172, 7170, 7165, 7173, 7166, 7167, 7166, 7193, 7165, 7175, 7166, 7168, 7170, 7167, 7161, 7168, 7165, 7172, 7175, 7170, 7164, 7177, 7168, 7171, 7172, 7177, 7163, 7166, 7175, 7172, 7174, 13968, 7173, 7166, 7159, 7168, 7170, 7174, 7167, 7166, 7305.06
20, 7171, 7171, 9302, 7171, 7177, 7173, 7163, 7176, 7170, 7175, 7166, 7178, 7171, 7165, 7178, 7176, 7181, 7167, 7171, 7176, 7174, 7172, 7170, 7180, 7165, 7168, 7180, 7166, 7177, 7173, 7172, 7174, 7173, 7168, 7174, 7171, 7180, 7176, 7174, 7171, 9326, 7177, 7179, 7171, 7176, 7174, 7165, 7177, 7173, 7179, 7258.66
25, 7183, 7182, 7196, 7183, 7173, 7183, 7184, 7179, 7182, 7189, 7179, 9309, 7367, 7187, 7183, 7173, 7181, 7178, 7183, 7183, 7182, 7184, 7182, 7185, 7283, 8250, 8241, 7181, 7175, 7186, 7176, 7187, 7184, 7179, 7184, 7178, 7183, 7187, 7185, 7182, 7176, 7185, 7184, 7188, 7835, 10613, 9332, 13531, 8060, 8382, 7566.34
30, 9301, 8352, 8339, 8346, 8346, 8336, 9311, 8348, 8337, 8338, 8339, 8339, 8345, 8334, 8343, 8344, 8340, 8344, 8341, 8345, 8344, 8340, 8329, 8343, 8341, 8337, 8343, 8334, 12717, 8344, 8334, 8345, 8338, 8336, 8344, 9318, 8344, 9316, 8332, 8344, 8342, 8343, 9306, 8341, 8341, 8340, 8345, 8338, 8340, 8343, 8525.4
35, 8321, 8323, 8339, 9302, 8325, 8344, 8334, 8322, 8321, 8321, 8322, 8330, 8322, 9306, 9305, 8334, 8323, 9312, 8340, 8321, 8323, 8335, 8329, 8330, 9308, 8321, 8336, 9309, 8324, 8339, 9300, 8333, 8324, 8335, 8324, 8329, 8324, 8330, 8335, 8321, 9300, 8326, 8336, 9304, 9306, 8321, 8320, 9307, 8324, 8334, 8543.08
40, 9307, 8342, 9310, 8341, 8341, 8341, 8343, 8344, 9311, 8347, 8344, 8342, 9313, 8345, 8342, 9451, 8345, 9306, 8348, 8340, 8342, 8347, 9309, 9310, 8342, 8343, 8339, 8343, 8345, 8341, 8345, 9306, 8337, 8344, 9322, 9313, 8345, 9307, 9311, 8344, 8342, 9307, 8342, 8340, 10469, 8344, 8339, 8341, 8342, 9318, 8678.44
45, 11931, 11935, 12981, 11929, 11913, 11926, 11921, 11916, 11928, 11923, 11923, 11938, 11932, 11927, 11935, 11928, 14046, 14068, 11922, 11932, 11920, 11950, 11929, 14048, 11931, 14042, 11933, 11916, 11933, 11932, 11923, 11927, 11926, 12931, 11929, 11928, 11933, 11931, 11934, 11931, 12943, 11928, 11929, 11925, 11934, 11920, 11921, 11935, 11933, 11932, 12159.6
50, 11924, 12924, 11909, 14034, 12918, 11994, 11960, 11921, 11919, 11915, 11918, 11908, 14037, 11912, 14054, 11912, 12110, 11915, 11918, 11921, 11907, 11923, 14034, 11917, 11918, 11912, 11915, 11906, 12117, 12914, 11919, 11919, 11918, 11915, 14035, 11923, 11918, 11920, 11920, 14024, 14093, 11921, 11920, 11918, 11915, 11915, 11911, 14038, 11930, 11916, 12327.5
