200, 1444, 2441, 1615, 1605, 1620, 1582, 1587, 1616, 1579, 1588, 1598, 1579, 1591, 1589, 1579, 1587, 1597, 1579, 1586, 1598, 1582, 18606, 2178, 1606, 1596, 1603, 1590, 1587, 1635, 1585, 1582, 1605, 1581, 1585, 1612, 1580, 1586, 1605, 1578, 1577, 1615, 1581, 1581, 1596, 1581, 1579, 1600, 1615, 1588, 1642, 1959.94
700, 17155, 19505, 18978, 17584, 17553, 17560, 17600, 17596, 17700, 17575, 17623, 17584, 17516, 17590, 17578, 17610, 17588, 17563, 17583, 17733, 17602, 17579, 17599, 17659, 17757, 4440, 4389, 4277, 4297, 4256, 4290, 4251, 4300, 4249, 4289, 4247, 4287, 4257, 4284, 4241, 4297, 4301, 4283, 4310, 4271, 4329, 4280, 4320, 4292, 4311, 11006.4
1200, 6596, 7173, 7143, 7097, 9573, 7114, 7091, 7095, 7100, 7081, 7060, 7134, 7103, 26842, 21407, 20737, 7082, 7059, 7094, 7101, 7087, 7071, 7099, 7082, 7071, 7084, 7080, 7116, 7090, 7063, 7084, 7064, 7080, 7079, 7101, 7092, 7073, 7117, 7088, 7089, 7063, 22802, 20746, 8717, 20691, 20682, 26237, 19137, 20689, 20715, 10417.4
1700, 21094, 24636, 24961, 25090, 27731, 22154, 24929, 24962, 24990, 25473, 24953, 24993, 24962, 24972, 24950, 25015, 24981, 24990, 25018, 24990, 24990, 24935, 24984, 24919, 24995, 24951, 24914, 25027, 24941, 24163, 24938, 24989, 24941, 24963, 24969, 24956, 24996, 24958, 24985, 24940, 24999, 24960, 24947, 24984, 24991, 25031, 22494, 24994, 24937, 24956, 24831.8
2200, 11872, 13415, 12572, 12557, 28202, 25763, 25792, 25801, 25776, 25802, 25870, 12579, 12577, 12562, 12559, 12529, 12561, 12571, 12541, 15689, 13790, 13795, 12571, 12547, 16299, 13472, 12562, 12533, 12582, 12568, 12574, 28164, 25854, 25740, 45780, 26261, 25760, 25844, 12576, 12771, 12568, 25047, 25800, 25799, 25761, 25853, 25827, 26000, 25781, 25815, 19357.7
2700, 14405, 15320, 15270, 15282, 15248, 15302, 29569, 24022, 15318, 15281, 15283, 15307, 15271, 15470, 15252, 15289, 20179, 15288, 15260, 15299, 15258, 15299, 15264, 15290, 15317, 15263, 15302, 15265, 15269, 15324, 15311, 15265, 15292, 15268, 15304, 15239, 15268, 15262, 34861, 29345, 15258, 15301, 15259, 15310, 15259, 15279, 15255, 15303, 15284, 15271, 16499.2
3200, 17033, 18008, 18000, 18019, 18038, 19525, 17982, 18003, 17963, 17998, 17985, 17984, 17996, 17974, 17965, 18041, 18069, 18005, 18009, 17972, 17997, 23004, 20893, 18008, 17973, 17984, 21414, 18002, 17961, 17946, 18000, 23776, 17997, 17959, 17989, 18001, 17987, 18058, 18025, 17998, 17983, 17963, 18035, 17984, 17992, 18023, 18022, 18006, 33534, 20920, 18720.1
3700, 31607, 31881, 31910, 31946, 31902, 31926, 31952, 31935, 31935, 31911, 44543, 31981, 31902, 31916, 31939, 31927, 31923, 32090, 31875, 31898, 32162, 31991, 32052, 31931, 31996, 31921, 31887, 31926, 31947, 31941, 44933, 32021, 31990, 31948, 31950, 32109, 31893, 31917, 31930, 31906, 31904, 32156, 31919, 32012, 31941, 31922, 31979, 31916, 31914, 31945, 32457.2
4200, 36068, 36352, 36298, 36275, 81511, 40186, 36275, 36291, 36267, 36315, 36341, 36309, 36313, 36372, 36335, 36277, 36302, 36297, 36337, 36317, 39842, 36303, 36689, 40268, 36262, 36334, 36296, 36262, 36384, 36389, 36326, 36291, 36322, 36284, 36295, 36285, 36379, 36295, 36312, 36294, 36286, 40209, 36302, 36281, 36441, 36353, 36588, 36284, 36352, 36307, 37531.1
4700, 40323, 40532, 42384, 40496, 40489, 40512, 40579, 40519, 49132, 41602, 40512, 40561, 40486, 40521, 40492, 40549, 41010, 40540, 40494, 40506, 40481, 40526, 40486, 40740, 66728, 40520, 40533, 40594, 40494, 40483, 40513, 40536, 40574, 40489, 40454, 40524, 40453, 40583, 40519, 40784, 40508, 54581, 40750, 40687, 40720, 40704, 40684, 40703, 40763, 40667, 41600.4
