1, 31771, 31768, 31770, 31753, 31745, 31753, 31764, 31751, 31751, 31751, 31743, 31741, 31753, 31753, 31760, 31757, 31778, 31752, 31767, 31761, 31756, 31750, 31749, 31750, 31739, 31765, 31759, 31780, 31780, 36883, 43839, 31774, 31772, 31801, 31780, 31774, 31756, 31753, 31762, 31738, 31744, 31761, 31748, 31755, 31748, 31748, 31750, 31757, 31738, 31739, 32101.8
5, 36464, 36504, 36653, 37654, 36474, 36541, 36535, 36670, 36471, 36459, 36462, 36486, 36716, 36626, 36483, 36612, 36461, 36510, 36710, 36469, 36544, 36464, 37419, 51708, 50534, 36474, 36464, 36470, 36693, 36490, 36489, 36474, 36462, 36647, 36492, 36461, 36474, 36477, 36474, 36671, 40310, 51601, 52316, 44884, 36470, 36451, 36445, 36452, 36578, 36626, 38009.5
10, 36491, 36600, 52485, 60063, 38327, 36532, 36625, 36478, 36531, 36521, 36484, 36626, 37253, 36484, 36521, 36490, 36678, 36475, 36654, 36494, 36575, 36500, 36600, 36538, 36488, 36599, 36522, 70021, 39101, 36534, 36540, 36724, 36551, 36527, 36538, 36497, 36507, 36627, 36527, 37305, 36659, 36537, 36623, 36495, 36525, 36574, 38053, 50920, 69953, 75661, 39892.7
15, 36624, 36505, 36509, 37854, 52155, 43582, 50035, 36525, 36515, 36467, 36478, 36614, 36829, 36490, 36545, 36475, 36469, 37312, 36595, 36477, 36674, 36457, 36500, 36676, 36460, 36626, 36510, 36463, 36458, 38351, 48889, 36470, 36493, 36462, 36462, 36608, 36472, 36473, 36488, 36517, 36558, 36639, 36496, 36505, 36638, 36488, 36618, 36504, 37984, 61921, 38118.3
20, 63402, 63411, 63428, 63415, 63463, 75895, 76496, 92918, 100449, 66238, 77279, 74035, 74032, 82980, 81562, 74147, 79987, 63372, 63373, 63370, 76084, 75761, 74564, 82286, 82555, 85923, 76489, 76939, 74499, 73612, 74034, 69440, 63406, 83694, 63417, 73507, 83957, 83491, 76187, 76492, 74056, 74064, 74077, 79743, 78384, 75153, 66120, 63356, 63409, 76746, 74293.9
25, 63366, 75236, 76238, 69854, 63419, 63387, 63407, 63403, 63411, 63400, 63409, 63416, 76158, 81466, 75779, 76539, 80953, 73441, 73514, 73197, 74348, 75746, 88044, 81961, 76999, 75396, 75935, 74092, 74515, 78578, 84234, 72079, 73124, 73334, 72869, 73605, 74981, 83197, 70783, 73575, 73554, 74903, 76270, 73640, 81278, 85299, 99947, 71978, 83803, 81551, 74652.2
30, 73257, 71680, 72633, 75423, 75634, 75054, 73118, 71940, 73607, 84504, 70563, 70193, 67179, 63455, 72634, 63380, 63445, 63569, 78742, 100745, 69455, 63433, 84845, 80967, 77014, 73934, 70721, 63364, 63348, 63340, 63397, 63399, 63375, 69799, 63387, 63387, 63451, 81749, 70083, 73074, 72660, 63468, 63406, 63777, 76250, 86535, 77625, 75126, 73089, 81745, 71599.2
35, 63413, 63391, 63398, 63410, 63391, 68342, 71065, 63411, 63366, 63364, 63406, 63401, 63406, 63730, 63401, 63385, 70707, 74059, 63400, 63390, 63405, 63406, 63410, 63384, 81275, 63405, 81903, 68942, 63401, 63424, 82674, 69762, 63390, 63414, 63432, 63398, 84107, 74056, 64502, 63506, 71973, 63391, 63374, 63390, 80624, 73699, 63411, 63411, 63408, 83145, 67137.2
40, 63431, 63558, 63465, 63451, 63420, 63502, 63415, 63420, 63533, 63574, 63500, 63464, 64167, 63639, 63496, 63576, 63395, 63499, 63386, 66001, 63523, 63647, 63367, 63658, 63670, 63389, 63470, 63655, 63403, 63479, 63398, 63467, 68081, 105661, 95049, 67886, 63620, 63583, 63592, 63550, 63676, 63427, 63547, 63577, 63434, 63569, 63392, 63414, 63532, 66051, 65273.2
45, 99747, 99738, 99764, 99706, 99716, 99708, 99716, 99753, 99710, 99709, 99737, 99708, 99729, 99717, 101259, 110235, 99751, 99737, 99739, 99707, 99702, 99735, 99742, 99719, 99723, 99722, 99710, 99754, 99728, 106454, 99710, 99697, 99748, 99732, 99718, 99733, 99720, 99726, 99732, 99712, 99719, 99730, 99730, 99713, 99736, 99750, 99760, 99722, 99707, 99729, 100102
50, 129319, 127652, 106664, 107857, 102262, 99713, 99750, 99732, 99706, 99715, 99745, 100961, 99715, 102370, 99742, 99726, 99750, 99863, 99727, 99698, 99720, 99854, 99730, 99784, 99720, 99743, 99726, 103362, 107073, 99705, 99725, 99726, 99726, 99730, 99734, 99731, 99724, 99747, 99968, 99728, 99811, 113782, 108842, 99756, 99744, 99701, 99737, 99717, 99733, 100326, 102015
